"","Surface_1","Rhodobacteraceae","PS1_clade","Pseudoalteromonadaceae","Porticoccaceae","ZD0405","Flavobacteriaceae","NS9_marine_group","Cryomorphaceae","Methylophilaceae","Burkholderiaceae","Comamonadaceae","Puniceicoccaceae","Opitutaceae"
"400140R102b",90631.4550740664,3756.73730326858,2680.21767246627,422.081523223036,1451.96043988725,2113.92496214204,9887.25968149963,1603.90978824754,2349.58714594157,1646.11794056984,0,0,73.0525713270639,0
"400149R102b",101936.400182427,4777.25020997663,3790.78670338804,5608.15357062124,1991.23588344006,2284.00859235581,8167.91699408028,1373.26612651038,2694.08111624434,2102.81375621902,0,0,110.03734988064,0
"400235R102b",585528.412801475,53687.0365311192,7004.36174950719,150.956072187655,12873.5338361632,14149.6158330562,62641.5193118876,20067.0938628123,3502.1808747536,5555.18345650571,0,0,4273.21804346593,0
"400235R13b",102444.094151792,44401.338513311,11283.697326864,3677.99942771584,40383.7588540397,11976.5559346539,267213.186982573,109372.680229691,17717.3843991988,2078.57582336969,0,0,15303.8000182164,0
"400244R102b",551681.965840803,54851.4575370697,6676.80287849931,778.960335824919,11786.7826815108,16973.9166511182,67608.9188866475,19051.144213318,2284.95031841976,6320.70672497934,0,0,2739.20118092279,0
"400244R13b",212170.24520963,55700.026504459,15261.3685150786,7938.05476163088,29381.2362956961,14103.3242917122,211764.300359591,61086.8327825776,10732.5884272708,5335.27517193806,0,0,15843.5720669359,0
"400355R102b",100242.924333262,13640.4038357658,532.216216263671,486.856879650288,10037.5978387328,5561.65945995535,24392.2790856062,23648.140542649,1853.88648665179,1463.59459472509,46.9602543762062,0,81.8794178867186,0
"400365R102b",102383.490409576,12033.5878599175,0,1536.82503939261,11617.9847273278,4961.84764396291,53911.750630505,28500.368784226,1906.07561932722,1996.84112500946,0,0,139.639239511151,0
"400468R13b",156876.783533601,20174.469558507,6960.65881136685,25957.8820775802,9101.24851034633,2020.8364291065,249006.260753475,29065.1165420873,5613.43452529584,1571.76166708284,0,0,4375.60024535882,0
"400468R202b",383830.819003602,22086.2012285926,3025.11599268134,1648.89796981668,11300.6027929995,4067.67009185401,82927.6362341559,3725.84907573183,2478.20236688584,2922.56968784468,0,0,670.495070085827,0
"400795R102b",130846.811950478,11886.4760347744,1944.64476359521,6631.89916256058,2436.14838516323,3597.23665060652,19772.3359067744,6353.93087592281,448.764176214279,1517.2503100578,0,0,230.135474981682,85.4788907074818
"400804R102b",128168.134722863,8836.16032099509,1222.78392166827,24219.4588121341,2046.12509559158,3043.37331615214,16114.3870256809,4232.19101777407,557.046008759991,1976.83400669704,0,0,62.7068677778602,0
"407863R102b",168061.102401296,7801.29084143312,3438.81584136964,17.5347544358883,6754.18701151063,5518.27071980471,13861.4085311507,1881.06165681758,1227.09881518959,2314.58758553726,0,462.917517107452,525.657253858277,0
